Número de catálogo,Autor,Título,Fecha,Técnica,Soporte,Dimensión,Serie,Procedencia,UrlImagen
P000415,"Tiziano, Vecellio di Gregorio",La emperatriz Isabel de Portugal,1548,Óleo,Lienzo,Alto:117cm.;Ancho:98cm.,None,"Colección Real (¿Palacio del Buen Retiro, Madrid, 1772, nº 616?; ¿Buen Retiro, 1794, nº 440?; Palacio Real, Madrid, secretaría de Estado, 1814-1818, s.n.).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/d4/d4ed/d4eddf35-c76c-4c11-8f2b-099f7b71d696/6fd4e03e-d34d-499e-b7a4-6c482882cb79_832.jpg
P000533,"Tiziano, Vecellio di Gregorio",Juan Federico I de Sajonia,1548,Óleo,Lienzo,Alto:129cm.;Ancho:93cm.,None,"Colección Real (Palacio Real Nuevo, Madrid, pinturas que quedaron sin colgar en la última pieza de la Furriera, 1747, nº 703; Palacio del Buen Retiro, Madrid, galería del mediodía, 1772, nº 705; Buen Retiro, 1794, nº 995)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/5d/5d0d/5d0d05e8-a823-4882-8caf-e3d3884aa644/8a8ae1a0-9ef3-434c-996f-2661a72b9572_832.jpg
P000426,"Tiziano, Vecellio di Gregorio",Sísifo,1548 - 1549,Óleo,Lienzo,Alto:237cm.;Ancho:216cm.,"Las Furias, Gran Sala del Palacio de Binche, Bruselas","Colección Real (Real Alcázar, Madrid, salón de los espejos-cuartos principales, 1700, nº 3; Palacio Real Nuevo, Madrid, primera sala de la Furriera, 1747, nº 32; Palacio Real Nuevo, Madrid, antecámara de su majestad, 1772, nº 32; Palacio Real, Madrid, antecámara, 1814-1818, nº 32).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/bb/bb56/bb56eb47-052f-4e15-8e46-75a3f18b13ad/ae527919-6535-4541-bc70-72ac377829b8_832.jpg
P002824,"Tintoretto, Jacopo Robusti",El lavatorio,1548 - 1549,Óleo,Lienzo,Alto:210cm.;Ancho:533cm.,None,"San Marcuola, Venecia; adquirido por Ferdinando Gonzaga, VI Duque de Mantua, ca. 1610; colección de Carlos I de Inglaterra; adquirido en la Almoneda de la Commonwealth, de los bienes de Carlos I de Inglaterra, por Houghton, 1651, quien lo vendió en 1654 a don Alonso de Cárdenas para don Luis Méndez de Haro, quien lo regaló a Felipe IV; Colección Real (Salas Capitulares de El Escorial, 1656-1936); depositada en el Museo del Prado por la Junta Delegada de Incautación, Protección y Conservación del Tesoro Artístico Nacional, 1936; por Decreto de 02-03-1943 quedó establecido su depósito en el Museo del Prado; depósito del Patrimonio Nacional perteneciente al Real Patronato del Monasterio de San Lorenzo de El Escorial",https://content3.cdnprado.net/imagenes/Documentos/imgsem/77/77d1/77d1fd63-1918-40b7-a79e-6d427e19bed8/4aed6a51-5f51-40f6-9330-3e2ff2044e70_832.jpg
P007757,"Pourbus el Viejo, Pierre",Tríptico de los santos Juanes,1549,Óleo,Tabla,Alto:241cm.;Ancho:377cm.,None,"Adquisición, 2000.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/6a/6ab1/6ab1e1f6-e100-43d4-a227-ae51ba004e6b/51224fff-eb78-4790-8b6e-06c11a2e2613_832.jpg
P000452,"Tiziano, Vecellio di Gregorio(Taller de)",Felipe II,1549 - 1550,Óleo,Lienzo,Alto:103cm.;Ancho:82cm.,None,"Colección Real (Real Alcázar, Madrid, 1636; Real Alcázar, 1700; Palacio Real Nuevo, Madrid, 1772; Palacio Real Nuevo, 1794).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/72/7249/7249afc2-e80c-4e47-8dba-0dda1758a9aa/ce1fd49d-63b0-4f7d-baa8-8c196916ab4f_832.jpg
P002111,"Moro, Antonio",El emperador Maximiliano II,1550,Óleo,Lienzo,Alto:184cm.;Ancho:100cm.,None,"Colección Real (Palacio Real Nuevo, Madrid, tercera pieza de la Furriera, 1747, nº 185; Palacio del Buen Retiro, Madrid, 1794, nº 876).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ec/ecfc/ecfce375-ade3-4386-8d0d-8b16ff1f4e83/86e45d30-095d-44bc-8b17-0dc6e10b6c3b_832.jpg
P001541,"Hemessen, Jan Sanders van",El cirujano o La extracción de la piedra de la locura,1550 - 1555,Óleo,Tabla,Alto:100cm.;Ancho:141cm.,None,"Colección Real (Casa Real de El Pardo, Madrid, 1609; Casa Real de El Pardo, Madrid, Sala del Antecámara, 1614-1617; Real Alcázar, Madrid, Pieça de las bóbedas en que come su magd. en tiempo de calor, 1636, s.n.; Real Alcázar, Ofiío de Guarda Joyas Diferentes Cosas, 1701-1703, s.n.; Palacio Nuevo, Madrid, Pinturas que estaban en el Guardarropa, 1747, nº 875; Palacio Real del Buen Retiro, Madrid, Quarto del Infante don Luis de las apeadas, 1772, nº875; Palacio Real del Buen Retiro, 1794, nº 1154; Real Museo de Pinturas, Madrid, Noticia de los cuadros que se hallan colocados en la Galeria del Museo del Rey nuestro Señor sito en el Prado de esta corte, 1828, nº557)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/2a/2ab4/2ab4b602-9b75-48ce-b6bb-1d9a5631076e/fbf1bc1b-12e7-4641-a8e5-bfe4db5d9590_832.jpg
P004941,"Tiziano, Vecellio di Gregorio",San Juan Bautista,1550 - 1555,Óleo,Lienzo,"Alto:195cm.;Ancho:127,5cm.",None,Museo de la Trinidad,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ba/ba3d/ba3d3d54-2135-43c1-b4f7-a2484316754b/2fc319dc-6a9e-4c7c-bb34-b621b0eca7d3_832.jpg
P000069,"Volterra, Daniele Ricciarelli da",Retrato de caballero,1550 - 1555,Óleo,Tabla,Alto:101cm.;Ancho:64cm.,None,"Colección Real (colección Felipe V, Palacio de La Granja de San Ildefonso, Segovia, 1727; col. Felipe V, La Granja, pieza donde se dice misa, 1746, nº 118; La Granja, 1794, nº 118; Palacio Real, Madrid, Real Estampilla, 1827, nº 118).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/bf/bfbb/bfbb62d9-d26a-4cd2-9b84-733fda1e5bf0/8c9e8408-8c06-4d17-a5de-da1918ddf754_832.jpg
P000378,"Tintoretto, Jacopo Robusti",El caballero de la cadena de oro,Hacia  1555,Óleo,Lienzo,"Alto:103,7cm.;Ancho:76,7cm.",None,"Colección Real (Real Alcázar, Madrid, galería del mediodía, 1700, nº 56; Palacio Real Nuevo, Madrid, pieza de comer, 1794, nº 117; Palacio Real, Madrid, pieza de comer, 1814-1818, nº 117).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f3/f351/f351fb54-83a6-4c94-9576-b2b301a4f9ba/9007de1d-7659-48a5-9782-791fb3aa2c5d_832.jpg
P000394,"Tintoretto, Jacopo Robusti",Visita de la reina de Saba a Salomón,Hacia  1555,Óleo,Lienzo,Alto:58cm.;Ancho:205cm.,Serie de las historias bíblicas,"Colección Real (adquirida por Velázquez, Venecia, 1651; Real Alcázar, Madrid, bóvedas de Tiziano, 1686, s.n.; Real Alcázar, Madrid, bóvedas de Tiziano-aposento del Nilo, 1700, nº 508; colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, 1746, nº 1117; La Granja, Casa de Alhajas, 1766, nº 1117; La Granja, 1794, nº 1117; La Granja, 1814-1818, nº 1117).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f9/f9d6/f9d61711-92be-4516-8baf-6adb395eb4ae/93fcb169-89cf-4614-adbb-bb3404538717_832.jpg
P000395,"Tintoretto, Jacopo Robusti",José y la mujer de Putifar,Hacia  1555,Óleo,Lienzo,Alto:54cm.;Ancho:117cm.,Serie de las historias bíblicas,"Colección Real (adquirida por Velázquez, Venecia, 1651; Real Alcázar, Madrid, bóvedas de Tiziano-alcoba de la primera pieza, 1686, s.n.; Real Alcázar, bóvedas de Tiziano-aposento del Nilo, 1700, nº 508; colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, 1746, nº 1112; La Granja, Casa de Alhajas-otra pieza-pinturas con marco, 1766, nº 1112; La Granja, 1794, nº 1112; La Granja, 1814-1818, nº 1112).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/01/016a/016a0646-726d-4f27-9d80-0d177895b49b/7a204f9c-7422-4412-9c0f-8b79b9f4f1b4_832.jpg
P000396,"Tintoretto, Jacopo Robusti",Moisés salvado de las aguas,Hacia  1555,Óleo,Lienzo,Alto:56cm.;Ancho:119cm.,Serie de las historias bíblicas,"Colección Real (adquirida por Velázquez, Venecia, 1651; Real Alcázar, Madrid, bóvedas de Tiziano-alcoba de la primera pieza, 1686, s.n.; Real Alcázar, Madrid, bóvedas de Tiziano-aposento del Nilo, 1700, nº 508; colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, 1746, nº 1114; La Granja, cuarto bajo-pieza segunda, 1766, [nº s. n. 13]; La Granja, 1794, nº 1114; La Granja, 1814-1818, nº 1114).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/59/594a/594a71f3-d822-4549-a185-e8135ac105d3/9d449c49-fecb-4e11-a30a-fb48ace6c45d_832.jpg
P000413,"Anónimo(Círculo deTiziano, Vecellio di Gregorio)",El hombre del cuello de armiño,Hacia  1555,Óleo,Lienzo,Alto:81cm.;Ancho:68cm.,None,"Colección Real (Real Alcázar, Madrid, pasillo de la mudita, 1700, nº 53; ¿Palacio Real Nuevo, Madrid, paso de tribuna y trascuartos, 1772, nº 15?; ¿Palacio Real Nuevo, Madrid, antecámara, 1794, nº 15?).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/d5/d5c9/d5c9cf93-e7d3-4901-9424-0435d82ea61c/484f104b-a8eb-436e-9c25-ca5873cc78d6_832.jpg
P000421,"Tiziano, Vecellio di Gregorio",Venus recreándose con el Amor y la Música,Hacia  1555,Óleo,Lienzo,"Alto:150,2cm.;Ancho:218,2cm.",None,"Colección Real (Real Alcázar, Madrid, bóvedas de Tiziano, 1700, nº 484; Palacio Real Nuevo, Madrid, primera sala de la Furriera, 1747, nº 6; Palacio Real Nuevo, estudio de Andrés de la Calleja, 1772, nº 6; Casa de Rebeque, Madrid, 1794, s. n.; Academia de San Fernando, Madrid, sala reservada, 1827, nº 53).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b3/b364/b36421df-4d51-43b6-911c-c0517377e48d/9c62183c-13fa-4448-b3e7-7454a051b0f1_832.jpg
P000476,"Portelli, Carlo",La Caridad,1550 - 1560,Óleo,Tabla,Alto:151cm.;Ancho:115cm.,None,"Colección Real (Adquirido por Carlos IV; Palacio de Aranjuez, primera pieza del cuarto del príncipe, 1818, nº 199).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/8f/8f36/8f363f6a-57b2-4e64-99c4-0abaa8df87b1/640d5537-2bc1-4c40-84a4-b8cb790b15c3_832.jpg
P000485,"Badile, Antonio",Dama desconocida,1550 - 1560,Óleo,Lienzo,Alto:110cm.;Ancho:93cm.,None,Colección Real,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ed/ed50/ed506e12-b567-4918-97f1-f5b606bde71b/156e7e3c-7516-4fe9-b782-b64e01f5022d_832.jpg
P002207,"Sellaert, Vincent",La Caridad,1550 - 1560,Óleo,Tabla,Alto:163cm.;Ancho:105cm.,None,"Colección I conde de Mansfeld, castillo La Fontaine, Luxemburgo-Clausen, 1604; Colección Real (Palacio de El Pardo, Madrid, 1609; El Pardo, retrete del rey, 1701, nº 163; El Pardo, pieza décima o de espera de damas, 1747, nº 72; Palacio del Buen Retiro, Madrid, cuarto del infante don Luis-pinturas apedas, 1772, nº 163; Buen Retiro, 1794, nº 1147).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/bc/bc1a/bc1ae28a-bc76-42bd-92ba-991b561f4eb7/51b32d2e-6fd5-42fe-a317-8d4509f753ca_832.jpg
P002641,"Coxcie, Michiel",Jesús con la Cruz a cuestas,Hacia  1555,Óleo,Tabla,Alto:81cm.;Ancho:50cm.,None,"Legado Pablo Bosch y Barrau, 1916",https://content3.cdnprado.net/imagenes/Documentos/imgsem/9a/9a5c/9a5cd6e0-5aaf-48a1-847e-c787b49a9779/4ce2595e-bdbe-4f9f-9d63-83d7a6aed4e4_832.jpg
P003085,El Bosco(Seguidor de),Las tentaciones de San Antonio Abad,1550 - 1560,Óleo,Tabla de madera de roble,"Alto:88,3cm.;Ancho:70cm.",None,"Donación Alice Piette van Buuren, 1965",https://content3.cdnprado.net/imagenes/Documentos/imgsem/eb/eb95/eb95ac15-3750-424a-8f59-f1175e100ba1/e3e7fbcf-b343-4711-8b4c-31837c4b48e4_832.jpg
P002758,Anónimo,Cabeza de anciano,1550 - 1600,Óleo,Lienzo,Alto:45cm.;Ancho:42cm.,None,"Legado Pedro Fernández Durán y Bernaldo de Quirós, 1931",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c2/c22f/c22f8212-4e46-4f5e-9d84-320939689a7a/4b2b1aa3-dde3-4614-a16b-42919f1e5662_832.jpg
P000411,"Tiziano, Vecellio di Gregorio",Felipe II,1551,Óleo,Lienzo,Alto:193cm.;Ancho:111cm.,None,"Colección Real (Palacio Real Nuevo, Madrid, primera sala de la Furriera, 1747, nº 14).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/d1/d12e/d12e683b-7a51-41db-b7a8-725244206e21/11bc82d6-f5b5-4590-8edd-91c9a1d374ff_832.jpg
P002110,"Moro, Antonio","La emperatriz María de Austria, esposa de Maximiliano II",1551,Óleo,Lienzo,Alto:181cm.;Ancho:90cm.,None,"Colección Real (Palacio del Buen Retiro, Madrid, 1794, nº 890).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/1b/1b14/1b147cdb-b83c-4739-9542-a8e9bc2b0019/3dfa0be6-b18d-4388-9c0b-b2b27e35db48_832.jpg
P000432,"Tiziano, Vecellio di Gregorio",La Gloria,1551 - 1554,Óleo,Lienzo,Alto:346cm.;Ancho:240cm.,None,Colección Real,https://content3.cdnprado.net/imagenes/Documentos/imgsem/66/6614/66149817-6f88-4e5f-a09a-81f63a84d145/a8166ae1-bffd-4efb-974e-e1abffc45438_832.jpg
P002723,"Coffermans, Marcellus",Flagelación. Descendimiento. Anunciación. San Jerónimo. Descanso en la Huida a Egipto,Tercer cuarto del siglo XVI,Óleo,Tabla,Alto:33cm.;Ancho:100cm.,None,"Legado Pedro Fernández Durán y Bernaldo de Quirós, 1931",https://content3.cdnprado.net/imagenes/Documentos/imgsem/75/75cc/75cc0d03-ceb4-4f70-887f-18743621e278/dfd7ee98-15e4-45c9-a185-6be80b666864_832.jpg
P000369,"Tintoretto, Jacopo Robusti",El arzobispo Pedro,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:71cm.;Ancho:54cm.,None,"Colección Real (colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, pieza de la chimenea, 1746, nº 523; La Granja, pieza de vestir, 1766, nº 523; Palacio de Aranjuez, Madrid, pieza de cenar, 1794, nº 523; Aranjuez, sala de corte del rey, 1818, nº 523).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/dd/ddd1/ddd1e523-6766-4a9d-bcf1-ba248f49fbce/6870de08-75e1-431b-99da-489d5a2c315f_832.jpg
P001446,"Valckenborch, Lucas van",Paisaje con la curación del poseso,Segunda mitad del siglo XVI,Óleo,Tabla,Alto:37cm.;Ancho:58cm.,None,"Colección Real (colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, callejón del retrete, 1746, nº 850; La Granja, pieza de escribir detrás del dormitorio, 1766, nº 850; Palacio de Aranjuez, Madrid, pieza de música, 1794, nº 850; Aranjuez, Consejo de Estado, 1818, nº 850). Ingresó en el Museo en 1848.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/35/3597/3597a176-fad6-4248-ab81-d9611390fe1b/8a46278e-e7cd-486e-9eec-ef5b9f62b7f9_832.jpg
P002695,El Bosco(Copia),Un ballestero,Segunda mitad del siglo XVI,Óleo,Tabla de madera de roble,"Alto:28,2cm.;Ancho:21,3cm.",None,"Legado Pablo Bosch y Barrau, 1916",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f7/f788/f7885dcf-1b11-4885-b886-1018cfeaa4bc/72c1bf16-2448-4e6b-beed-c2c3c62274ba_832.jpg
P003172,"Bassano, Francesco",Viaje de Jacob,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:155cm.;Ancho:257cm.,None,"Colección Real (¿Palacio Real Nuevo, Madrid, dormitorio, 1794, nº 205?; Palacio Real, Madrid, dormitorio de príncipes-pieza segunda de amarillo, 1814-1818, s.n.).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/75/7523/7523dae4-1b04-4036-a594-9aeb70f86427/48847021-f132-4678-a2fa-b10cead2f65b_832.jpg
P003259,"India, Bernardino",Giovanni Matteo Ghiberti,Segunda mitad del siglo XVI,Óleo,Tabla,Alto:21cm.;Ancho:14cm.,None,Colección Real,https://content3.cdnprado.net/imagenes/Documentos/imgsem/d8/d87b/d87b6463-c9b2-4085-8fe7-c0238ed640c8/025f1e5a-ffae-4a41-ac60-9704f62a355b_832.jpg
P000023,Anónimo(Taller deBassano),Noé después del Diluvio,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:80cm.;Ancho:113cm.,None,"Colección Real (Palacio Real Nuevo, Madrid, tercera pieza de la Furriera, 1747, nº 192; Palacio Real Nuevo, Madrid, antecámara de su majestad, 1772, nº 192).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/8a/8a95/8a95a6e5-e940-494d-b19d-18d44d1e5237/1dcccad3-bd56-4695-a746-8467bd9dfa9d_832.jpg
P000030,Bassano(Taller de),La Primavera,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:68cm.;Ancho:86cm.,None,"Colección Real (Palacio Real Nuevo, Madrid, primera sala de la Furriera, 1747, nº 65).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ed/ed1b/ed1bb91e-51ff-4894-8536-2f5f299c9df0/eb991613-a918-4707-a7a9-f8d4bc77594f_832.jpg
P000031,Bassano(Taller de),Invierno,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:79cm.;Ancho:95cm.,None,"Colección Real (Palacio Real Nuevo, Madrid, primera sala de la Furriera, 1747, nº 66).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/3d/3d71/3d71357c-0702-406b-af91-b2ef7eafcfec/ffd599cb-e3b6-4729-a945-b3cac798cfd2_832.jpg
P000033,"Bassano, Francesco",Adoración de los Reyes Magos,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:86cm.;Ancho:71cm.,None,"Colección Real (colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, pieza donde se decía misa antiguamente, 1746, nº 743; La Granja, pieza tercera de azulejos, 1766, nº 743; La Granja, 1794, nº 743; La Granja, 1814-1818, nº 743)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/6e/6efa/6efa65f8-99b5-46be-9dad-71f181dc869b/72c08df8-6cc1-454c-b369-91cd3b5a82ec_832.jpg
P000036,"Fiammingo, Paolo",Faenas campestres o La Primavera,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:119cm.;Ancho:171cm.,Serie de las Cuatro Estaciones,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 43]; Buen Retiro, 1794, nº 207).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/39/39ba/39ba90e9-c136-4a50-8779-1b5f39664a77/f62c471a-7b0e-47d1-b94c-392dc2480cff_832.jpg
P000037,"Fiammingo, Paolo",La siega y el esquileo o El Verano,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:120cm.;Ancho:170cm.,Serie de las Cuatro Estaciones,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 45]; Buen Retiro, 1794, nº 211).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/93/9360/936089d1-5c17-4248-a4ce-4ef8ea606367/e38302b6-81c9-425e-8a2d-d47766a1a156_832.jpg
P000038,"Fiammingo, Paolo",La vendimia o El Otoño,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:119cm.;Ancho:170cm.,Serie de las Cuatro Estaciones,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, [nº 44]; Buen Retiro, 1794, nº 170).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/cd/cd6d/cd6d20a6-37e7-4e4e-b507-df21c4aeb1ee/9164c6cc-e541-4bef-a12c-5d756af0eb57_832.jpg
P000040,"Bassano, Francesco",La Huida a Egipto,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:86cm.;Ancho:71cm.,None,"Colección Real (colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, pieza donde se decía misa antiguamente, 1746, nº 744; La Granja, pieza tercera de azulejos, 1766, nº 744; La Granja, 1794, nº 744; La Granja, 1814-1818, nº 744).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c5/c5ad/c5adb1ec-453c-4c90-a19c-14b63fb411ec/b77803e6-9c17-4246-a127-f73df9b3555a_832.jpg
P000043,"Bassano, Francesco",La Virgen María en el Cielo,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:175cm.;Ancho:140cm.,None,"Colección Real (Real Alcázar de Madrid, pieza donde Su Majestad comía, 1700, nº 252; Alcázar de Madrid, cuarto nuevo de la Reina, pieza de las Furias, 1703, s. n.; Palacio del Buen Retiro, Madrid, pieza anteoratorio, 1772, nº 941; Palacio Real Nuevo, Madrid, pieza de paso al dormitorio, 1794, nº 941; Palacio Real, Madrid, pieza de paso al dormitorio, 1814-1818, nº 941).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/9c/9ccb/9ccb1d24-3dfd-4b37-be5b-9bbf68a108b4/a99376a1-88b8-4c99-aff6-7f2c7680dea2_832.jpg
P000046,"Fiammingo, Paolo",Leñadores o El Invierno,Segunda mitad del siglo XVI,Óleo,Lienzo,"Alto:121cm.;Ancho:152,5cm.",Serie de las Cuatro Estaciones,"Colección Real (Palacio del Buen Retiro, Madrid, 1701, nº 209).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c6/c6a0/c6a0f568-6511-4643-95ba-1ab8141d3786/b178dedb-0635-4573-9513-1413b3e3399d_832.jpg
P000060,"Cambiaso, Luca",Sagrada Familia,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:131cm.;Ancho:103cm.,None,"Colección Real (adquirido por Carlos IV; Casita del Príncipe, El Escorial-Madrid, h. 1787, nº 154; Casita del Príncipe, El Escorial-Madrid, 1801, nº 154; Palacio de Aranjuez, Madrid, 1818)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ee/ee9d/ee9d9965-1e04-4b77-aa1a-ecccefe2583b/1b57384e-5b35-4a81-8c86-10c767bf02c5_832.jpg
P000061,"Cambiaso, Luca",El Amor dormido,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:64cm.;Ancho:72cm.,None,"Colección Real (colección Felipe V, Quinta del duque del Arco, El Pardo-Madrid, segunda pieza de cuarto de invierno, 1745, [nº 32]; Quinta del duque del Arco, pieza segunda, 1794, ¿nº 28?).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/10/108e/108e7d4b-39c7-474b-ab19-caab19b13c2f/4aa4ad42-f338-4114-81e4-e77cf387e455_832.jpg
P000076,"Carracci, Annibale",Apoteosis de San Francisco,Segunda mitad del siglo XVI,Pintura al fresco,Revestimiento mural trasladado a lienzo,"Alto:151cm.;Ancho:103,3cm.","Capilla de San Diego de Alcalá o ''Capilla Herrera''. Iglesia de San Giacomo degli Spagnoli, Roma.","Iglesia de San Giacomo degli Spagnoli, capilla Herrera o de San Diego, Roma; Museo de la Trinidad.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/7f/7f8d/7f8d50e1-179c-4add-b3d0-b70a8ebdb6b4/b8badeaf-2101-479b-8ccb-bf0566fe813b_832.jpg
P000077,"Carracci, Annibale",Apoteosis de Santiago el Mayor,Segunda mitad del siglo XVI,Pintura al fresco,Revestimiento mural trasladado a lienzo,"Alto:151,3cm.;Ancho:103,5cm.","Capilla de San Diego de Alcalá o ''Capilla Herrera''. Iglesia de San Giacomo degli Spagnoli, Roma","Iglesia de San Giacomo degli Spagnoli, capilla Herrera o de San Diego, Roma; Museo de la Trinidad.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/2e/2e3e/2e3e03ef-dfd6-496b-bce9-1359d96888e1/ef2c6b13-a23b-4b97-a7d3-41b445575e02_832.jpg
P000078,"Carracci, Annibale",Apoteosis de San Lorenzo,Segunda mitad del siglo XVI,Pintura al fresco,Revestimiento mural trasladado a lienzo,"Alto:152,5cm.;Ancho:104cm.","Capilla de San Diego de Alcalá o ''Capilla Herrera''. Iglesia de San Giacomo degli Spagnoli, Roma","Iglesia de San Giacomo degli Spagnoli, capilla Herrera o de San Diego, Roma; Museo de la Trinidad.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/58/58bc/58bc1fed-0b92-4f12-8222-f7d51d0ddb9c/4c422982-73ae-4b64-bb67-0938a5be360b_832.jpg
P000270,Anónimo,Los desposorios místicos de Santa Catalina,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:117cm.;Ancho:151cm.,None,"Colección Real (colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, pieza de la chimenea junto al tocador, 1746, nº 274; La Granja, pieza cuadrada inmediata al dormitorio, 1766, nº 274; La Granja, 1794, nº 274; La Granja, 1814-1818, nº 274).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/17/1769/17697813-2d70-4b15-98a7-7153a89d9df3/1ad69e9a-08ec-46bc-93e2-59e176a633a7_832.jpg
P003917,Bassano(Taller de),El Otoño,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:76cm.;Ancho:92cm.,None,"Colección Real (Palacio Real Nuevo, Madrid, tercera pieza de la Furriera, 1747, nº 191; Palacio Real Nuevo, Madrid, antecámara de su majestad, 1772, nº 191).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/cb/cb8f/cb8fed92-142d-420e-9b12-e917d85b29be/7ba978c4-ed9d-498d-a1f8-79371170c967_832.jpg
P000024,"Bassano, Jacopo(y taller)",Los ángeles anunciando a los pastores el Nacimiento de Jesús,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:126cm.;Ancho:171cm.,None,Colección Real,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ea/ead7/ead7a110-802f-4b84-8022-2587c4798e3c/3474a50b-7cbf-4e75-87d9-6fe5fa27f7f3_832.jpg
P000454,"Anónimo(Copia deTiziano, Vecellio di Gregorio)",El emperador Carlos V con un perro,Segunda mitad del siglo XVI,Óleo,Lienzo,Alto:112cm.;Ancho:99cm.,None,"Colección Real (Palacio Real Nuevo, Madrid, segunda alcoba, 1747, nº 346).",https://content3.cdnprado.net/imagenes/Documentos/imgsem/2d/2d11/2d117030-f579-4b4d-8295-7ebe81932384/28972ff6-3dc5-4e20-855b-0d4d842a398f_832.jpg
P003762,Anónimo(Copia deBeato Nicolás Factor),San Francisco de Asís,Segunda mitad del siglo XVI,Óleo,Tabla pasada a lienzo,Alto:71cm.;Ancho:45cm.,None,Museo de la Trinidad,https://content3.cdnprado.net/imagenes/Documentos/imgsem/89/89f2/89f23823-394c-4834-81d1-7f1b842647b6/f63b1d8b-329d-4e22-98bd-ccfff211871b_832.jpg
P000474,"Vanni, Francesco(Atribuido a)",Encuentro de las Marías y San Juan,Segunda mitad del siglo XVI - Principio del siglo XVII,Óleo,Lámina de cobre,"Alto:59,5cm.;Ancho:50,5cm.",None,Colección Real,https://content3.cdnprado.net/imagenes/Documentos/imgsem/88/88e2/88e20c6c-b0a6-41d3-b970-3110560a159c/804482e8-8c57-47fd-9346-bb5c211a33d5_832.jpg
